Model Name,Company,Type,Origin Country,Application,Filename
For Treccia F,Hafary,Tiles,Italy,"Wall, Floor",for-treccia-f_r-500-500-60-user-data-collections-4013-21988-1714116327.jpg
ST26996N(M),Hafary,Tiles,Malaysia,"Floor, Wall",st26996n-m-_r-500-500-60-user-data-collections-4012-21985-1714103553.jpg
ST26996N(M),Hafary,Tiles,Malaysia,"Floor, Wall",st26996n-m-_r-500-500-60-user-data-collections-4012-21986-1714103554.jpg
QSY8003A,Hafary,Tiles,China,"Floor, Wall",qsy8003a_r-500-500-60-user-data-collections-4011-21983-1714101276.jpg
QSY8017A,Hafary,Tiles,China,"Floor, Wall",qsy8017a_r-500-500-60-user-data-collections-4011-21984-1714101277.jpg
MA26672P(M),Hafary,Tiles,Malaysia,"Floor, Wall",ma26672p-m-_r-500-500-60-user-data-collections-4010-21974-1714094480.jpg
MA26672P(M),Hafary,Tiles,Malaysia,"Floor, Wall",ma26672p-m-_r-500-500-60-user-data-collections-4010-21975-1714094490.jpg
MA26672P(M),Hafary,Tiles,Malaysia,"Floor, Wall",ma26672p-m-_r-500-500-60-user-data-collections-4010-21976-1714094497.jpg
MA26673P(M),Hafary,Tiles,Malaysia,"Floor, Wall",ma26673p-m-_r-500-500-60-user-data-collections-4010-21977-1714094565.jpg
MA26673P(M),Hafary,Tiles,Malaysia,"Floor, Wall",ma26673p-m-_r-500-500-60-user-data-collections-4010-21978-1714094566.jpg
MA26673P(M),Hafary,Tiles,Malaysia,"Floor, Wall",ma26673p-m-_r-500-500-60-user-data-collections-4010-21979-1714094576.jpg
MA26671P(M),Hafary,Tiles,Malaysia,"Floor, Wall",ma26671p-m-_r-500-500-60-user-data-collections-4010-21981-1714094588.jpg
MA26671P(M),Hafary,Tiles,Malaysia,"Floor, Wall",ma26671p-m-_r-500-500-60-user-data-collections-4010-21982-1714094613.jpg
MA26723P(M),Hafary,Tiles,Malaysia,"Floor, Wall",ma26723p-m-_r-500-500-60-user-data-collections-4009-21971-1714042217.jpg
MA26723P(M),Hafary,Tiles,Malaysia,"Floor, Wall",ma26723p-m-_r-500-500-60-user-data-collections-4009-21972-1714042218.jpg
MA26723P(M),Hafary,Tiles,Malaysia,"Floor, Wall",ma26723p-m-_r-500-500-60-user-data-collections-4009-21973-1714042219.jpg
