Name,Color 1,Color 2,Color 3,Color 4
Rosettes and Cream,#EF7C8E,#FAE8E0,#B6E2D3,#D8A7B1
Rosy Flamingo,#E8B4B8,#EED6D3,#A49393,#67595E
Summer Splash,#05445E,#189AB4,#75E6DA,#D4F1F4
Pastel Dreams,#FBE7C6,#B4F8C8,#A0E7E5,#FFAEBC
Room for Comfort,#E7D2CC,#B9B7BD,#868B8E,#EEEDE7
The Deep Blue,#050A30,#000C66,#0000FF,#7EC8E3
Emerald Entrance,#B68D40,#F4EBD0,#122620,#D6AD60
Mermaid Lagoon,#145DA0,#0C2D48,#2E8BC0,#B1D4E0
Retro Punch,#2FF3E0,#F8D210,#FA26A0,#F51720
Healthy Leaves,#3D550C,#81B622,#ECF87F,#59981A
Right on Time,#F6EEE0,#E4B7A0,#A45C40,#C38370
Window Tide,#41729F,#5885AF,#274472,#C3E0E5
Padlocked Doors,#B99095,#FCB5AC,#B5E5CF,#3D5B59
Salmon Sushi,#E7F2F8,#74BDCB,#FFA384,#EFE7BC
Thwarted Summer Shower,#BCECE0,#36EEE0,#F652A0,#4C5270
Scooping Ice Cream,#E4D4C8,#D0B49F,#A47551,#523A28
Sweet Cotton Sugar,#EFEBE0,#FB8DA0,#FB6B90,#FB4570
Easter Egg Nest,#BBE7FE,#D3B5E5,#FFD4DB,#EFF1DB
Bright Lights,#68BBE3,#0E86D4,#055C9D,#003060
Afternoon Sinkers,#FFC2C7,#B6E5D8,#FBE5C8,#8FDDE7
Cheeky Marguerita,#0A7029,#FEDE00,#C8DF52,#DBE8D8
Water Foam,#DDFFE7,#98D7C2,#167D7F,#29A0B1
Pastel Blonde,#FFF4BD,#F4B9B8,#85D2D0,#887BB0
Rocks and Barefoot,#EDE7DC,#DCD2CC,#CCAFA5,#BDC3CB
Everything Nice,#603F8B,#B4FEE7,#A16AE8,#FD49A0
Clusters of Beauty,#D48C70,#F4B9B8,#EBBBB0,#E98980
Green Blaze,#76B947,#B1D8B7,#2F5233,#94C973
Under the Ferns,#116530,#21B6A8,#A3EBB1,#18A558
Rosy Afters,#FFC5D0,#F7D6D0,#FB6090,#821D30
Icy Gradient,#EEB5EB,#C26DBC,#C8F4F9,#3CACAE
Soft in Hue,#F8C0C8,#EFE7D3,#D3BBDD,#ECE3F0
San Francisco Clouded,#4297A0,#F4EAE6,#E57F84,#2F5061
Warm Sunset,#FD7F20,#FC2E20,#FDB750,#010100
Facing Forward,#E5DDC8,#01949A,#004369,#DB1F48
Birth Spring,#BCA88E,#E3E8E9,#9DA993,#E4B4B4
Cupcake Delight,#EBE0D0,#EC9EC0,#FF0080,#A91B60
Pasture of Dreams,#D3B1C2,#C197D2,#211522,#613659
Luscious Lemonade,#F8EA8C,#A4E8E0,#4CD7D0,#E1C340
Forever Fields,#B7AC44,#DF362D,#FF8300,#FF4500
Foil-covered Sneakers,#90ADC6,#E9EAEC,#FAD02C,#333652
Petal Party,#F2C5E0,#D43790,#EC8FD0,#870A30
Green Lemons,#013A20,#478C5C,#BACC81,#CDD193
Speckled Eggs,#BFD7ED,#60A3D9,#0074B7,#003B73
Soft Focus Forest,#175873,#2B7C85,#87ACA3,#0C1446
Sea of Serenity,#04ECF0,#04D4F0,#6AF2F0,#059DC0
Rose Petals,#3B0404,#DEB3AD,#DE847B,#B95C50
Here at Home,#647C90,#E2DED0,#4E4F50,#746C70
Timeless Beauty,#DACAC4,#F7C9B6,#DBC39A,#DAE7DD
Skater Girl,#E56997,#BD97CB,#FBC740,#66D2D6
Strawberry Froth,#FABEC0,#F85C70,#F37970,#E43D40
Royal Elegant,#FBEDE0,#FDD1D2,#D4BBDD,#D0AB99
Secret Passageway,#32CD30,#2C5E1A,#1A4314,#B2D2A4
Trees in Bloom,#F9CCD3,#AA1945,#F1CED4,#391306
Bubblegum Sweetness,#0C6170,#37BEB0,#A4E5E0,#DBF5F0
Cool Cream Strawberry,#E7625F,#C85250,#F7BEC0,#E9EAE0
Painting with Pastels,#F2E6D6,#A0E0E4,#FCC0C5,#F582A8
Toasted Peach,#FBAA60,#FBC490,#F67B50,#A82810
Shopping Spree,#F9D030,#F62AA0,#B8EE30,#26DFD0
Melted Ice Cream,#5BB0BA,#C15B78,#EBF5F7,#F6C8CC
Pastel Meltaways,#FEE7E6,#ECFDF1,#F9EAC2,#FFD898
Gingerbread Ice Cream,#6F5B3E,#F9F6F0,#C4AE78,#171515
Ripe Harvest,#FF5C4D,#FF9636,#FFCD58,#DAD870
Backdoor Casual,#E98973,#E7D4C0,#88B2CC,#658EA9
Colored Coolers,#F6A21E,#E55B13,#104210,#7A871E
Mellow Barnyard,#E6C2BF,#F8EFE4,#FAD02C,#282120
Red Beanie Practise,#BA0F30,#2F2440,#C6B79B,#FF2511
Mountain Haze,#C3CEDA,#738FA7,#0C4160,#071330
Sugar and Spice,#B7C8C2,#ECA4B1,#E9DAC4,#CFB2B0
Modern Pastel Life,#F0E1DE,#F7C9B6,#549BAD,#83BDC0
Berry Blues,#05E0E9,#FF2768,#CFEED1,#4E1A3D
Fresh for Picking,#F7D6C0,#F4B9B8,#96AD90,#3A4A3D
Sun Ready,#FC8BC0,#FA53A0,#25C0C0,#F3BC50
Fresh Grapefruit,#ACEEF3,#FF7077,#FFE9E4,#FFB067
In the Blue,#C4DBE0,#2EB5E0,#00A8A8,#0C6980
Ice Infinity,#D9E4EC,#B7CFDC,#6AABD2,#385E72
Sunlit Eggplant,#EFD3B5,#5F093D,#B21368,#D67BA8
Wall Greens,#778A35,#D1E2C4,#EBEBE8,#31352E
Ramp It Up,#F3E1C0,#EBAAB0,#275070,#955670
Lake View,#54627B,#ECD5BB,#FFFFFF,#710117
Watermelon and Stripes,#D2FBA4,#F1C0B9,#88CA5E,#1D741B
Apple Shine,#FF8370,#00B1B0,#FEC84D,#E42256
Middle Eastern Empire,#922C40,#DC9750,#F3EAC0,#1E2640
Towering Over,#0000A3,#0067B3,#40B0DF,#FFD53D
Bubbly Banana,#15B5B0,#F9BDC0,#FBE698,#6DECE0
Coffee Run,#39918C,#D0B49F,#AB6B51,#2F435A
Pomegranate Crush,#DC4731,#FFF3D9,#B8390E,#3B0918
Diaphanous Jellyfish,#B4F5F0,#2CEEF0,#0476D0,#041F60
Purple Fabric,#BEAFC2,#695E93,#8155BA,#281C2D
Muted Overview,#535E4B,#C1C2AD,#B5A4A3,#E9E6E2
Dark Road Curve,#0A0708,#444444,#747474,#B1B1B1
Crack of Dawn,#001F3D,#045174,#D89C60,#E87A00
Stacked Cupcake Cups,#EAE6F0,#F7CAC9,#D68FB0,#BF3880
Soft Slippers,#B4AAA9,#FFF0DF,#F8FAFD,#F0C9B3
Northern Lights,#1A5653,#107869,#5CD85A,#08313A
Sweet and Nice,#C59894,#F0D1BF,#F7C9B6,#877785
Sweeter Love,#A58CB3,#838BC2,#EAE7FA,#D9A1A0
Sugar Rush,#FFB067,#FFED86,#A2DCE7,#F8CCDC
Blushing Landscape,#FFA384,#E88D72,#543855,#FF8882
Candy Hearts,#FEC8A7,#FCECA5,#B5EECB,#CBC7FC
One Fine Day,#533440,#A47786,#E4D4C8,#9DB6CC
Northern Lights 2,#1DC690,#278AB0,#1C4670,#EAEAE0
Smiling Roses,#E2808A,#F1CCD7,#2E765E,#638C80
Letters of Affection,#CB857C,#F6CBB7,#FAF7F4,#9C2D41
Meringues and Tea,#BBA78C,#EFEAE4,#F4C6D4,#F3DBB2
Shopaholic Babe,#FFC5D0,#FFFF00,#22CAE0,#F52EC0
Arts and Crafts,#D773A2,#07BB9C,#FFD743,#A06AB4
Way up North,#E8EEF1,#43B0F1,#057DCD,#1E3D58
Colorful Powder Cracks,#54086B,#FF0BAC,#00BEC5,#050833
Pulp Slices,#0A4158,#4B8378,#FF9636,#E4D7D0
Steel Cutlery,#99B0B0,#B5B2B0,#FCFAF0,#8A9EA0
Flowers Like Eyes,#C55FFC,#EFDCF9,#323E42,#7954A1
Bold Geometry,#0D698B,#F2F1E8,#050533,#E34234
Wild Orchid,#005437,#DEBAD6,#340744,#741AAC
Up Shore,#DEE2EC,#8C756A,#1AC8DB,#0292B7
Sunset Waters,#F6D4D2,#A16AE8,#4120A9,#A1A9FE
In a Trance,#FADCDC,#4D4C60,#D691A0,#C45F90
Plum and Gold,#D6C099,#D6CEC0,#8E8A92,#AE8781
Tea and Romance,#F9F1F0,#663635,#E1999F,#DEB3AD
Fresh Blankets,#774A62,#FBD2C9,#313E61,#81ABBC
Spike of Mint,#7CF3A0,#B4F8C8,#FF75D8,#FF45B5
Velvet Petals,#0E050F,#170B3B,#341948,#9388A2
Cool Berry Scoop,#FFA3B8,#F7D6D0,#FC3C80,#821D30
Pale Blossom,#98042D,#BF4C41,#FCC0C5,#E1E2E7
Always Look Up,#EAFBFF,#77DDF9,#FFA0A3,#7F8FA3
Heart of Coral,#F0CCB0,#B97D60,#F0A160,#F54D3D
Spread Your Wings,#31B4F2,#0000FF,#025492,#F8CF40
Floating Seaside,#E4F4F3,#A1DBF1,#71D5E4,#00B6BC
Rainbow Doughnuts,#FF5765,#FFDB15,#8A6FDF,#A8E10C
Morning Espresso,#5C4E4E,#988686,#D1D0D0,#000000
Power Up,#E9DDD4,#000000,#E9DDD4,#900020
Metal and Glass,#D01110,#0A0A00,#A8BBB0,#EBE8E0
Raspberry Cream,#AE388B,#5DF15D,#E983D8,#F9B4F6
Black Bird,#140005,#464033,#7E7C73,#BBC4C2
Freshly Picked Oranges,#ADA7A7,#D3D3CB,#D37506,#9F2B00
Chocolate Chip Delight,#4F0000,#D9CED6,#303437,#AE8B70
Robin Egg Frosting,#16796F,#7CB7AF,#CADEDF,#9CA89E
Lava Sky,#E95670,#B34270,#713770,#432F70
Piece of Cake,#F7E3D9,#F9C7E4,#C6D8D5,#FEEDCF
Rabbit in Grass,#65463E,#AAD6A0,#DCBAA9,#D2E5D0
Midnight Waters,#BDC6D9,#52688F,#E3E7F1,#7391C8
Trees During Fall,#DBA40E,#4B5A20,#787D12,#7E6E13
Cotton Knits,#F3ECDA,#C4AC95,#94553D,#FFCBA4
Bamboo Beach,#FBF6F3,#FEB06A,#36D6E7,#5D6C89
Handpainted Sky,#5D59AF,#A072BE,#BE81B6,#E390C8
Milky Stream,#988780,#FFFFFF,#13292A,#E7DED9
Vintage Pastels,#FEEFDE,#DAE3E6,#DFDACD,#6E6D6E
Floaty Pool Fun,#F9B8B1,#F84791,#57DBD8,#25388E
Bare Beauty,#1F3541,#5289B5,#AFD8F2,#EDF2F3
Beautiful Abstraction,#0000FF,#4B7BF5,#79A9F5,#C2E2F5
Fur Strands,#FBC0C0,#FB6C90,#FB8DA0,#FB5490
