,Application,Category Tags,Company,Filename,Height (cm),Model Name,Origin Country,Product URL,Type,Width (cm)
0,"Wall, Floor","Glazed Porcelain Tile, Shade Variation",Hafary,for-treccia-f_r-500-500-60-user-data-collections-4013-21988-1714116327.jpg,200,For Treccia F,Italy,https://www.hafary.com.sg/collection/Tiles/Marca-Corona-For-Treccia-F-4013?image=21988,Tiles,200
1,"Floor, Wall","Glazed Porcelain Tile, Shade and Veins Variation (V2)",Hafary,st26996n(m)_r-500-500-60-user-data-collections-4012-21985-1714103553.jpg,600,ST26996N(M),Malaysia,https://www.hafary.com.sg/collection/Tiles/Element-Ceramics-ST26996N-M-4012?image=21985,Tiles,1200
2,"Floor, Wall","Glazed Porcelain Tile, Shade and Veins Variation (V2)",Hafary,st26996n(m)_r-500-500-60-user-data-collections-4012-21986-1714103554.jpg,600,ST26996N(M),Malaysia,https://www.hafary.com.sg/collection/Tiles/Element-Ceramics-ST26996N-M-4012?image=21986,Tiles,1200
3,"Floor, Wall","Glazed Porcelain Tile, Shade and Veins Variation",Hafary,qsy8003a_r-500-500-60-user-data-collections-4011-21983-1714101276.jpg,800,QSY8003A,China,https://www.hafary.com.sg/collection/Tiles/-QSY8003A-4011?image=21983,Tiles,800
4,"Floor, Wall","Glazed Porcelain Tile, Shade and Veins Variation",Hafary,qsy8017a_r-500-500-60-user-data-collections-4011-21984-1714101277.jpg,800,QSY8017A,China,https://www.hafary.com.sg/collection/Tiles/-QSY8017A-4011?image=21984,Tiles,800
5,"Floor, Wall","Glazed Porcelain Tile, Shade and Veins Variation (V2)",Hafary,ma26672p(m)_r-500-500-60-user-data-collections-4010-21974-1714094480.jpg,600,MA26672P(M),Malaysia,https://www.hafary.com.sg/collection/Tiles/Element-Ceramics-MA26672P-M-4010?image=21974,Tiles,1200
6,"Floor, Wall","Glazed Porcelain Tile, Shade and Veins Variation (V2)",Hafary,ma26672p(m)_r-500-500-60-user-data-collections-4010-21975-1714094490.jpg,600,MA26672P(M),Malaysia,https://www.hafary.com.sg/collection/Tiles/Element-Ceramics-MA26672P-M-4010?image=21975,Tiles,1200
7,"Floor, Wall","Glazed Porcelain Tile, Shade and Veins Variation (V2)",Hafary,ma26672p(m)_r-500-500-60-user-data-collections-4010-21976-1714094497.jpg,600,MA26672P(M),Malaysia,https://www.hafary.com.sg/collection/Tiles/Element-Ceramics-MA26672P-M-4010?image=21976,Tiles,1200
8,"Floor, Wall","Glazed Porcelain Tile, Shade and Veins Variation (V2)",Hafary,ma26673p(m)_r-500-500-60-user-data-collections-4010-21977-1714094565.jpg,600,MA26673P(M),Malaysia,https://www.hafary.com.sg/collection/Tiles/Element-Ceramics-MA26673P-M-4010?image=21977,Tiles,1200
9,"Floor, Wall","Glazed Porcelain Tile, Shade and Veins Variation (V2)",Hafary,ma26673p(m)_r-500-500-60-user-data-collections-4010-21978-1714094566.jpg,600,MA26673P(M),Malaysia,https://www.hafary.com.sg/collection/Tiles/Element-Ceramics-MA26673P-M-4010?image=21978,Tiles,1200
10,"Floor, Wall","Glazed Porcelain Tile, Shade and Veins Variation (V2)",Hafary,ma26673p(m)_r-500-500-60-user-data-collections-4010-21979-1714094576.jpg,600,MA26673P(M),Malaysia,https://www.hafary.com.sg/collection/Tiles/Element-Ceramics-MA26673P-M-4010?image=21979,Tiles,1200
