,Model Name,Product URL,Filename,Company,Type,Category Tags,Width (cm),Height (cm),Origin Country,Application
0,WY 4276X,https://sg.lamitak.com/rye-savannah-wood,lamitak_-_rye_savannah_wood_wy_4276x_thumbnail.jpg,lamitak,Laminate,"Exotic, Textured Finish, Wild Grains",23,44,None,Carpentry
1,WY 4274X,https://sg.lamitak.com/bronze-savannah-wood,lamitak_-_bronze_savannah_wood_wy_4274x_thumbnail.jpg,lamitak,Laminate,"Exotic, Textured Finish, Wild Grains",23,44,None,Carpentry
2,WY 4275X,https://sg.lamitak.com/russet-savannah-wood,lamitak_-_russet_savannah_wood_wy_4275x_thumbnail.jpg,lamitak,Laminate,"Exotic, Textured Finish, Wild Grains",23,44,None,Carpentry
3,WY 4273X,https://sg.lamitak.com/barley-savannah-wood,lamitak_-_barley_savannah_wood_wy_4273x_thumbnail.jpg,lamitak,Laminate,"Exotic, Textured Finish, Wild Grains",23,44,None,Carpentry
4,WY 7202D,https://sg.lamitak.com/bleached-barn-wood,lamitak_-_bleached_barn_wood_wy_7202d_thumbnail.jpg,lamitak,Laminate,"Exotic, Dri-matt® Finish, Wild Grains",None,None,None,Carpentry
5,WY 7203D,https://sg.lamitak.com/rustic-barn-wood-dri-matt,lamitak_-_rustic_barn_wood_wy_7203d_thumbnail.jpg,lamitak,Laminate,"Exotic, Dri-matt® Finish, Wild Grains",None,None,None,Carpentry
6,WY 4269X,https://sg.lamitak.com/almond-yugen-oak,lamitak_-_almond_yugen_oak_wy_4269x_thumbnail.jpg,lamitak,Laminate,"Oak, Textured Finish, Crowns Grains",23,44,None,Carpentry
7,WY 4268X,https://sg.lamitak.com/golden-yugen-oak,lamitak_-_golden_yugen_oak_wy_4268x_thumbnail_1_1.jpg,lamitak,Laminate,"Oak, Textured Finish, Crowns Grains",23,44,None,Carpentry
8,WY 4266X,https://sg.lamitak.com/ivory-yugen-oak,wy-4266x-ivory-yugen-oak_thumbnail.jpg,lamitak,Laminate,"Oak, Textured Finish, Straight Grains",23,44,None,Carpentry
9,WY 4267X,https://sg.lamitak.com/natural-yugen-oak,wy-4267x-natural-yugen-oak_thumbnail.jpg,lamitak,Laminate,"Oak, Textured Finish, Straight Grains",23,44,None,Carpentry
10,WYA 5601MT,https://sg.lamitak.com/washed-malibu-oak,wya-5601mt-washed-malibu-oak_thumbnail.jpg,lamitak,Laminate,"Oak, Textured Finish, Crowns Grains",None,None,None,Carpentry
11,WYA 5602MT,https://sg.lamitak.com/natural-malibu-oak,wya-5602mt-natural-malibu-oak_thumbnail.jpg,lamitak,Laminate,"Oak, Textured Finish, Crowns Grains",None,None,None,Carpentry
12,WHG 4231G,https://sg.lamitak.com/creme-akemi-ash-gloss,whg_4231g_creme_akemi_ash_gloss_4x8_28052019_thumbnail.jpg,lamitak,Laminate,"Ash, High Glossie Finish, Crowns Grains",23,44,None,Carpentry
13,WY 4231X,https://sg.lamitak.com/creme-akemi-ash,wy_4231x_creme_akemi_ash_4x8_28052019_thumbnail.jpg,lamitak,Laminate,"Ash, Textured Finish, Crowns Grains",23,44,None,Carpentry
