,Application,Category Tags,Color B,Color Code,Color G,Color R,Company,Model Name,Model Number,Origin Country,Product URL,Type,Filename
0,Wall,,242.0,#fbf1f2,241.0,251.0,Nippon,Angel Pink,1162,None,https://nipponpaint.com.sg/colours/find-your-colour/1162/angel-pink,Paint,1162.png
1,Wall,,232.0,#fbfae8,250.0,251.0,Nippon,Apple White,1140,None,https://nipponpaint.com.sg/colours/find-your-colour/1140/apple-white,Paint,1140.png
2,Wall,,232.0,#fbfae8,250.0,251.0,Nippon,Apple White,9070,None,https://nipponpaint.com.sg/colours/find-your-colour/9070/apple-white,Paint,9070.png
3,Wall,,213.0,#f4ecd5,236.0,244.0,Nippon,Barley White,1141,None,https://nipponpaint.com.sg/colours/find-your-colour/1141/barley-white,Paint,1141.png
4,Wall,,227.0,#fcf7e3,247.0,252.0,Nippon,Barley White,9071,None,https://nipponpaint.com.sg/colours/find-your-colour/9071/barley-white,Paint,9071.png
5,Wall,,224.0,#e1e3e0,227.0,225.0,Nippon,Bluebell White,8159,None,https://nipponpaint.com.sg/colours/find-your-colour/8159/bluebell-white,Paint,8159.png
6,Wall,,224.0,#f5ede0,237.0,245.0,Nippon,Chalk White,1135,None,https://nipponpaint.com.sg/colours/find-your-colour/1135/chalk-white,Paint,1135.png
7,Wall,,231.0,#fff9e7,249.0,255.0,Nippon,Chill,1118,None,https://nipponpaint.com.sg/colours/find-your-colour/1118/chill,Paint,1118.png
8,Wall,,226.0,#f8f2e2,242.0,248.0,Nippon,Cotton White,1136,None,https://nipponpaint.com.sg/colours/find-your-colour/1136/cotton-white,Paint,1136.png
9,Wall,,227.0,#f9f8e3,248.0,249.0,Nippon,Creamy White,5062,None,https://nipponpaint.com.sg/colours/find-your-colour/5062/creamy-white,Paint,5062.png
10,Wall,,237.0,#ffffed,255.0,255.0,Nippon,Dreamland,1149,None,https://nipponpaint.com.sg/colours/find-your-colour/1149/dreamland,Paint,1149.png
11,Wall,,228.0,#f0e4e4,228.0,240.0,Nippon,Flight,9019,None,https://nipponpaint.com.sg/colours/find-your-colour/9019/flight,Paint,9019.png
12,Wall,,229.0,#e4e2e5,226.0,228.0,Nippon,Gray Tint,BS 22B15,None,https://nipponpaint.com.sg/colours/find-your-colour/bs-22b15/gray-tint,Paint,BS 22B15.png
13,Wall,,229.0,#e9eae5,234.0,233.0,Nippon,Lilac Swish,9016,None,https://nipponpaint.com.sg/colours/find-your-colour/9016/lilac-swish,Paint,9016.png
14,Wall,,241.0,#edecf1,236.0,237.0,Nippon,Lilac White,1138,None,https://nipponpaint.com.sg/colours/find-your-colour/1138/lilac-white,Paint,1138.png
15,Wall,,227.0,#f9f3e3,243.0,249.0,Nippon,Lily White,1137,None,https://nipponpaint.com.sg/colours/find-your-colour/1137/lily-white,Paint,1137.png
16,Wall,,220.0,#fbf0dc,240.0,251.0,Nippon,Lily White,9069,None,https://nipponpaint.com.sg/colours/find-your-colour/9069/lily-white,Paint,9069.png
17,Wall,,215.0,#f2e9d7,233.0,242.0,Nippon,Linen White,BS 10B15,None,https://nipponpaint.com.sg/colours/find-your-colour/bs-10b15/linen-white,Paint,BS 10B15.png
18,Wall,,238.0,#f3efee,239.0,243.0,Nippon,Orchid White,1139,None,https://nipponpaint.com.sg/colours/find-your-colour/1139/orchid-white,Paint,1139.png
19,Wall,,224.0,#f9f7e0,247.0,249.0,Nippon,Peaceful,9073,None,https://nipponpaint.com.sg/colours/find-your-colour/9073/peaceful,Paint,9073.png
20,Wall,,228.0,#f7f6e4,246.0,247.0,Nippon,Pearl,1152,None,https://nipponpaint.com.sg/colours/find-your-colour/1152/pearl,Paint,1152.png
21,Wall,,214.0,#f7e4d6,228.0,247.0,Nippon,Rose,9049,None,https://nipponpaint.com.sg/colours/find-your-colour/9049/rose,Paint,9049.png
22,Wall,,223.0,#fcf4df,244.0,252.0,Nippon,Rose White,1143,None,https://nipponpaint.com.sg/colours/find-your-colour/1143/rose-white,Paint,1143.png
23,Wall,,236.0,#f6f3ec,243.0,246.0,Nippon,Sail White,1199,None,https://nipponpaint.com.sg/colours/find-your-colour/1199/sail-white,Paint,1199.png
24,Wall,,226.0,#fbede2,237.0,251.0,Nippon,Sky Beige,1101,None,https://nipponpaint.com.sg/colours/find-your-colour/1101/sky-beige,Paint,1101.png
25,Wall,,235.0,#faf6eb,246.0,250.0,Nippon,Sneaker White,3173,None,https://nipponpaint.com.sg/colours/find-your-colour/3173/sneaker-white,Paint,3173.png
26,Wall,,244.0,#fcf7f4,247.0,252.0,Nippon,Snow Flakes,1164,None,https://nipponpaint.com.sg/colours/find-your-colour/1164/snow-flakes,Paint,1164.png
27,Wall,,230.0,#f7f0e6,240.0,247.0,Nippon,Stove White,3172,None,https://nipponpaint.com.sg/colours/find-your-colour/3172/stove-white,Paint,3172.png
28,Wall,,205.0,#f9f1cd,241.0,249.0,Nippon,Vanilla,0827,None,https://nipponpaint.com.sg/colours/find-your-colour/0827/vanilla,Paint,0827.png
29,Wall,,255.0,#FFFFFF,255.0,255.0,Nippon,White,BS 00E55,None,https://nipponpaint.com.sg/colours/find-your-colour/bs-00e55/white,Paint,BS 00E55.png
30,Wall,,237.0,#faf6ed,246.0,250.0,Nippon,White Dawn,1153,None,https://nipponpaint.com.sg/colours/find-your-colour/1153/white-dawn,Paint,1153.png
31,Wall,,236.0,#f2e9ec,233.0,242.0,Nippon,Willow Tint,0809,None,https://nipponpaint.com.sg/colours/find-your-colour/0809/willow-tint,Paint,0809.png
32,Wall,,219.0,#e6dedb,222.0,230.0,Nippon,Wisteria White,NP OW 1046 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-1046-p/wisteria-white,Paint,NP OW 1046 P.png
